右肾多发囊肿	肾囊肿
扫及左肾囊肿可能	肾囊肿
扁桃体慢性扁桃体炎、右侧扁桃体脓栓	扁桃体炎
左侧脑室较右侧脑室稍宽,考虑先天发育变异可能	脑室先天发育变异可能
二尖瓣返流+、三尖瓣返流+	二尖瓣反流、三尖瓣反流
右肺中叶内段钙化小结节、左肺尖部胸膜下少许肺大泡	肺大泡、肺结节
双侧乳腺多发结节,左乳大者结节纤维腺瘤？	乳腺纤维瘤？、乳腺结节
右肺上叶尖段纤维小结节	肺纤维结节
左侧附件区长条形无回声区,考虑左侧输卵管少量积液	左侧输卵管积液
双侧乳腺实性结节,左乳多发(BI-RADS3类)	乳腺结节 BI-RADS 3类
左肝囊肿？	肝囊肿
胆囊沙粒样结石	胆囊结石
L5/S1椎间盘突出(右外侧型)	腰椎间盘突出
左肾萎缩	肾萎缩
右锁骨外端陈旧性骨折	骨折
外周血管弹性度中-重度下降	外周血管弹性度下降
双侧下肢动脉硬化伴双侧股总动脉多发斑块形成	动脉硬化
子宫增大伴多发低回声结节,子宫腺肌增生症合并腺肌瘤可能	子宫肌瘤？
L4/5椎间盘轻度凸出	腰椎间盘突出
右侧肾上腺区低密度结节,考虑良性病灶	肾上腺良性病灶
左肾椎体边缘回声增强	肾囊肿
右上胸膜钙化	胸膜钙化
肺通气功能检查①轻度限制性通气功能障碍	肺通气功能障碍
颈椎功能性改变及颈4-5、5-6椎间隙变窄	颈椎功能性改变
考虑慢性支气管炎、肺气肿、双下肺支气管扩张伴感染	慢性支气管炎、肺气肿、支气管扩张
左侧乳腺无回声结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
考虑右肾囊肿伴囊壁钙化	肾囊肿
CD4降低	CD4降低
颈椎退行性改变,C3/4、C5/6椎间盘轻度突出	颈椎退行性改变、颈椎间盘突出
双肾结石可能(左肾多发)	肾结石
残余甲状腺左叶多发低回声结节	甲状腺结节
分泌物稍黄	阴道分泌物异常
左肺上叶、双肺下叶后底段陈旧性病变	肺陈旧性病灶
免疫球蛋白Ａ增高	免疫球蛋白Ａ增高
左肺下叶点状钙化灶	肺钙化灶
双侧乳腺多发实性结节(BI-RADS3类,左侧部分结节伴钙化)	乳腺结节 BI-RADS 3类
左肾混合回声结节	肾结节
左肺散在磨玻璃小结节	肺磨玻璃结节
肝尾叶低密度影	肝低密度影
NK细胞降低	NK细胞降低
胆囊多发结石伴炎性沉积物	胆囊结石
甲状腺右叶低回声结节伴钙化,TI-RADS3类	甲状腺结节 TI-RADS 3类
甲状腺多发结节,右侧叶大者结节,ACRTI-RADS5类,MT待排	甲状腺结节 TI-RADS 5类
甲状腺左侧叶钙化灶	甲状腺钙化灶
双侧囊性乳腺增生,左侧乳腺实性结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
左肺钙化灶	肺钙化灶
左肺上叶后段多发小结节	肺结节
右上肺局限性慢性间质性炎症伴局限性肺气肿	肺气肿
甲状腺左叶低回声团,考虑滤泡性肿瘤	甲状腺滤泡性肿瘤
肝多发稍高回声结节,考虑多发性肝血管瘤	肝血管瘤
考虑双肺少许纤维小结节、右中肺纤维机化灶	肺纤维结节、肺纤维灶
右肺中叶支气管轻度扩张,双肺散在慢性炎症	支气管扩张、肺慢性炎症
冠状动脉支架术后改变	冠状动脉支架术后
两肺纹理稍增多	肺纹理增多
左肺斜裂胸膜旁炎症性病灶	肺炎性改变
右肝稍低回声区	肝低回声区
颈椎轻度退行性改变,C5/6椎间盘轻微突出	颈椎退行性改变、颈椎间盘突出
右肾结石？	肾结石
双侧颈动脉硬化	动脉硬化
肝多发胆管结石	胆管结石
双侧筛窦、左侧蝶窦慢性炎症	鼻窦炎
EB-Rta-IgG阳性	EB-Rta-IgG阳性
双侧颈动脉硬化伴右侧颈外动脉起始段斑块形成	动脉硬化
胆囊稍大	胆囊稍大
甲状腺左叶内后方混合回声区,考虑食道憩室	憩室
腰椎退行性改变,L5/S1椎间盘突出,L4/5椎间盘轻度膨出	腰椎间盘突出
左肺上叶舌段慢性炎症,右肺中叶外侧段粟粒样结节	肺结节
左侧输尿管上段结石	输尿管结石
扁桃体慢性扁桃体炎、双侧扁桃体II度肿大	扁桃体炎
双侧放射冠区腔梗,脑萎缩	脑萎缩
左肺下叶结节,良性病变可能	肺结节
右肺中叶实性结节	肺结节
左肝似见稍低密度影	肝低密度影
颈椎及椎间盘退行性改变	颈椎退行性改变
室性早搏(插入性)	室性早搏
甲状腺右侧叶结节,性质待定	甲状腺结节
左肾无回声区,考虑肾钙乳症	肾囊肿
左肝内高回声结节？	肝结节
前列腺增生伴结石	前列腺增生
左下肺纤维小结节	肺纤维结节
前列腺增生伴结石	前列腺增生
左肺下叶及右肺中叶多发微小结节	肺结节
子宫增大,子宫腺肌增生症可能	子宫腺肌增生症
右肺上叶后段、右肺下叶后基底段胸膜下纤维小结节	肺纤维结节
细菌性阴道病检测(BV)提示白细胞酯酶阳性	细菌性阴道病检测(BV)提示白细胞酯酶阳性
左肺结节	肺结节
双眼屈光不正(近视右眼高度,左眼中度)	屈光不正
左侧输尿管中段结石伴左肾积水,左侧输尿管上段及中段扩张	肾积水、输尿管结石
主动脉硬化症,左心缘稍圆隆	动脉硬化
右肺上中叶、左肺上叶舌段慢性炎症	肺慢性炎症
甲状腺左叶结节,考虑良性	甲状腺结节
脾肾之间无回声区,①考虑脾囊肿	脾囊肿
甲状腺实质回声增粗伴多发结节,结节性甲状腺肿？	甲状腺回声增粗
甲状腺右叶低回声结节伴钙化(粗大+细小),TI-RADS4A	甲状腺结节 TI-RADS 4a类
双侧额顶叶少量脑缺血灶、轻度脑萎缩	脑萎缩脑缺血灶
肝右叶稍高回声结节	肝结节
左侧输尿管上段结石伴扩张	输尿管结石
分泌物量多、色黄	阴道分泌物异常
双肺多发微小结节,考虑感染所致	肺结节
肝脏多发占位,均符合血管瘤改变	肝血管瘤
右肺及左肺下叶慢性炎症并右上胸膜增厚粘连、右肺上叶后段支气管扩张、双上肺间隔旁肺气肿	肺气肿、支气管扩张、肺慢性炎症
左肺下叶肺大泡	肺大泡
甲状腺双侧叶实性结节,右叶结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
附件左侧附件增厚	附件增厚
L4-5、L5-S1椎间盘突出(中央型)并L4-5椎管狭窄	腰椎间盘突出
右肺下叶散在炎症	肺炎性改变
右侧上腹部近腋中线处皮下脂肪层内高回声结节,考虑脂肪瘤	脂肪瘤
剑突皮下低回声结节,考虑纤维瘤	纤维瘤
子宫多发低回声结节(大者伴钙化),考虑多发性子宫肌瘤	子宫肌瘤？
左肾中盏微小结石	肾结石
T1-2棘突后方皮下脂肪瘤	皮下脂肪瘤
右侧基底节腔隙性脑梗塞	脑梗塞
鼻鼻中隔偏曲、右下鼻甲充血、下鼻甲肥厚	鼻中隔偏曲、下鼻甲肥厚、鼻粘膜充血
右侧乳腺无回声区,导管囊状扩张？	乳腺无回声区
甲状腺右叶混合性、实性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
宫颈下唇轻度宫颈柱状上皮异位	宫颈柱状上皮异位
左侧第6-8肋骨后段陈旧性骨折	骨折
右肺上叶前段炎症	肺炎性改变
脾内高回声结节,血管瘤？	肝血管瘤？
右肺上叶前段微小结节,随访	肺结节
子宫低回声结节伴钙化,考虑子宫肌瘤	子宫肌瘤？
右肺中叶少许纤维机化病灶,局限性胸膜增厚	胸膜增厚、肺纤维灶
甲状腺左叶大者结节伴钙化,TI-RADS3级	甲状腺结节 TI-RADS 3类
颈4-6椎体轻度骨质增生及颈5-6椎间隙稍变窄	骨质增生
左侧放射冠区腔隙性脑梗塞	脑梗塞
左下肢大隐静脉曲张	下肢静脉曲张
右侧乳腺等回声区(BI-RADS2类)	左侧乳腺等回声区 BI-RADS 2类
甲状腺右叶稍低回声结节	甲状腺结节
考虑右肺上叶占位病变	肺部占位
考虑慢性胆囊炎	慢性胆囊炎
扁桃体慢性扁桃体炎、III度肿大	慢性扁桃体炎、扁桃体Ⅲ度肿大
甲状腺体积增大,实质回声增粗,分布欠均匀	甲状腺回声增粗
双侧颈动脉硬化右侧锁骨下动脉斑块形成	动脉硬化
右肺中叶外侧段少许慢性炎症	肺慢性炎症
双上肺背侧胸膜下少许纤维机化灶	肺纤维灶
双上肺多发磨玻璃结节	肺磨玻璃结节
甲状腺左叶触及一结节,大小约1.4cm×1.0cm,质中,无压痛	甲状腺结节
大脑白质区多发缺血灶、右侧基底节区小软化灶、脑萎缩	脑萎缩、脑缺血灶、脑软化灶
腰椎退行性改变,L5/S1椎间盘轻度突出	腰椎间盘突出
PGI降低	PGI降低
外耳双耳耵聍栓塞	耵聍栓塞
甲状腺实质回声增粗,右侧叶实性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
肝实质回声弥漫性增粗	肝回声增粗
双乳腺多发低回声结节	乳腺结节
右肺下叶背段粟粒样结节	肺结节
考虑慢性支气管炎、肺气肿、多发肺大泡、左上肺背段少许炎症	慢性支气管炎、肺气肿、肺大泡
右肺上叶后段部分实性小结节	肺结节
子宫低回声结节,考虑子宫浆膜下肌瘤	子宫肌瘤？
主动脉及右侧冠状动脉粥样硬化	动脉粥样硬化
双肺下叶多发感染性微小结节	肺结节
二尖瓣及主动脉瓣钙化	主动脉瓣钙化
内科既往史狼疮性肾炎	狼疮性肾炎
肝回声增粗	肝回声增粗
考虑轻度脑萎缩	脑萎缩
右肝多发稍高回声结节,考虑肝血管瘤	肝血管瘤
右肝斑状强回声,考虑肝内胆管结石	胆管结石
胆囊内斑状强回声,结石可能,息肉待排	胆囊结石？、胆囊息肉
右上肺少许陈旧病灶,局部牵拉性支气管扩张伴胸膜轻度增厚粘连	支气管扩张、肺陈旧性病灶
胸6-8椎体轻度骨质增生	骨质增生
甲状腺左叶弧形强回声,考虑钙化灶(TI-RADS3类)	甲状腺结节 TI-RADS 3类
双膝关节轻度骨质增生	膝关节骨质增生
双肺弥漫性病变,恶性病变可能,感染性病变不除外	肺部感染、肺MT？
右中肺纤维小结节灶	肺纤维灶、肺纤维结节
胆囊高回声区,①胆泥淤积？②肿物待排	胆泥淤积？
胆囊壁增厚,考虑胆囊炎性改变	胆囊炎
右中肺、左肺舌叶纤维机化灶	肺纤维灶
考虑右肺多发陈旧性病灶	肺陈旧性病灶
甲状腺实质回声增粗伴分布不均	甲状腺回声增粗
右肺中下叶及左肺散在少许慢性炎症	肺慢性炎症
左肝不规则低回声区,考虑不均匀性脂肪肝	不均匀性脂肪肝
总胆红素增高	总胆红素增高
甲状腺右叶结节伴钙化,TI-RADS3类	甲状腺结节 TI-RADS 3类
慢性支气管炎、肺气肿、多发肺大泡,双上肺背侧胸膜增厚粘连	慢性支气管炎、肺气肿、肺大泡
左肾内上方囊性肿物,来源于左肾？左肾上腺？	肾囊肿
左肺下叶实性结节	肺结节
甲状腺多发低回声结节,其中右侧叶大者结节伴粗大钙化,TI-RADS3类	甲状腺结节 TI-RADS 3类
右侧乳腺低回声结节,乳腺纤维腺瘤？	乳腺纤维瘤？、乳腺结节
肝左内叶稍高回声结节,考虑肝血管瘤	肝血管瘤
右肾实质稍高回声结节(肾错构瘤？)	肾错构瘤？
前列腺囊性回声,输精管囊肿可能	前列腺囊肿
甲状腺右叶多发低回声结节,考虑结节性甲状腺肿可能	结节性甲状腺肿？
右侧乳腺低回声结节,考虑增生结节	乳腺增生
双肺散在慢性炎症性病变可能	肺慢性炎症
听力右侧耳聋	耳聋
左侧附件区低回声区,考虑实性占位性病变可能	附件占位可能
胆囊附壁隆起性病变,考虑胆囊息肉可能	胆囊息肉？
双侧乳腺增生(轻度)	乳腺增生
L3-4、L4-5、L5-S1椎间盘膨隆,L5-S1椎间盘变性,腰椎退行性变	腰椎间盘变性、腰椎退行性变
甲状腺左侧叶混合回声结节,考虑结节性甲状腺肿可能	结节性甲状腺肿？
胃蛋白酶原PGII增高	胃蛋白酶原PGII增高
分泌物少许淡粉色白带	阴道分泌物异常
左侧腋窝淋巴结钙化可能	腋窝淋巴结
餐后2小时血糖增高	餐后2小时血糖增高
左跟骨基底部骨质增生	骨质增生
IgG4增高	IgG4增高
左肺上叶舌段支气管扩张	支气管扩张
双侧乳腺多发低回声结节	乳腺结节
右肺下叶外基段陈旧性病变	肺陈旧性病灶
甲状腺弥漫性病变伴多发结节,桥本氏甲状腺炎合并结节性甲状腺肿可能	结节性甲状腺肿？
右肺下叶前基底段纤维小结节	肺纤维结节
颈4-6椎体轻度骨质增生及前纵韧带局部钙化	骨质增生
甲状腺双侧结节、大者位于左侧大小约1.0cm×0.8cm	甲状腺结节
甲状腺右叶多发结节,其中大者结节伴钙化,TI-RADS4A	甲状腺结节 TI-RADS 4a类
考虑双肺散纤维小结节	肺纤维结节
右侧颈动脉内-中膜稍增厚	颈动脉内-中膜增厚
子宫等回声结节,考虑腺肌瘤	子宫肌瘤？
电轴轻度右偏	电轴右偏
双侧甲状腺低回声结节	甲状腺结节
左膝关节半月板退行性改变	膝关节退行性改变
甲胎蛋白定量(免疫)增高	甲胎蛋白定量(免疫)增高
二尖瓣少量反流(生理性)	二尖瓣反流
右肺上叶微小结节	肺结节
C4/5、C5/6椎间盘变性并突出(中央型)	颈椎间盘变性
颈椎退行性改变,C4-5椎间盘轻度突出	颈椎退行性改变、颈椎间盘突出
胆囊多发胆固醇结晶	胆囊胆固醇结晶
脊柱侧弯,胸椎退行性变	脊柱侧弯
甲状腺右叶低回声结节,考虑腺瘤伴包膜钙化	甲状腺腺瘤
TPO-Ab增高	TPO-Ab增高
单核细胞百分比降低	单核细胞百分比降低
双侧颈部淋巴结轻度肿大	颈部淋巴结肿大
分泌物量多、有异味	阴道分泌物异常
考虑右肺散在纤维小结节	肺纤维结节
右肺中叶内侧段、双肺下叶胸膜下慢性炎症	肺慢性炎症
右上肺少许陈旧病灶,右肺门淋巴结钙化	肺陈旧性病灶
肝右叶胆管结石或钙化灶	胆管结石、肝钙化灶
纵隔、右肺门淋巴结钙化	纵隔淋巴结钙化、肺淋巴结钙化
左肺下叶微小结节灶	肺结节
甲状腺右侧叶多发结节,ACRTI-RADS4类	甲状腺结节 TI-RADS 4类
右肺术后改变	右肺术后改变
腰4、5椎体前上缘轻度骨质增生及腰4-5椎间隙稍变窄	腰椎骨质增生
左侧颈动脉硬化伴斑块形成	动脉硬化
外周血管左下肢重度静脉曲张	下肢静脉曲张
甲状腺右侧叶实性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
C4/5椎间盘突出(左外侧型),C5/6椎间盘膨出	颈椎间盘突出
扫及双侧上颌窦及筛窦慢性炎症,双侧下鼻甲肥厚	鼻窦炎
子宫颈斑点状强回声,钙化灶可能	子宫钙化灶可能
右肺胸膜下散在少许慢性炎症	肺慢性炎症
右下肺少许磨玻璃小结节	肺磨玻璃结节
膀胱壁粗糙,考虑慢性膀胱炎	膀胱炎
右侧附件区混合回声结节,考虑右侧卵巢畸胎瘤	卵巢畸胎瘤
右中肺陈旧性病灶	肺陈旧性病灶
右侧颈动脉内-中膜局部增厚	颈动脉内-中膜增厚
腰2-5椎体缘轻度骨质增生改变	腰椎骨质增生
鼻鼻中隔粘膜糜烂充血、鼻出血史	鼻出血、鼻中隔粘膜糜烂
双侧下颈部淋巴结可见	颈部淋巴结可见
左侧乳腺低回声结节伴钙化	乳腺结节
双侧颌下淋巴结肿大	颌下淋巴结肿大
肝右后叶低密度影(血管瘤？囊肿？)	肝囊肿
平均血小板体积增高	平均血小板体积增高
甲状腺多发囊实性结节,考虑结节性甲状腺肿	结节性甲状腺肿
右侧斜裂胸膜增厚	胸膜增厚
甲状腺右侧叶多发片状低回声区(TI-RADS3类)	甲状腺结节 TI-RADS 3类
双侧乳腺囊性结节(BI-RADS2类,右侧多发)	乳腺结节 BI-RADS 2类
考虑右下肺实性纤维小结节	肺纤维结节
右侧输尿管中段结石	输尿管结石
残余甲状腺左叶低回声结节	甲状腺结节
左肾实质内稍高回声结节,肾错构瘤可能	肾错构瘤？
左侧附件区无回声区,考虑巧克力样囊肿可能	卵巢巧克力样囊肿
左上颈淋巴结肿大	淋巴结肿大
左侧附件区无回声区,卵巢囊肿？左输卵管积水？	卵巢囊肿
左肺上叶舌段、右肺下叶内基底段慢性炎症	肺慢性炎症
非均匀性脂肪肝	非均匀性脂肪肝
L4/5椎间盘轻突出(中央型)	腰椎间盘突出
双侧基底节、放射冠区多发腔隙梗塞,脑白质变性、脑萎缩	脑萎缩
右侧乳腺低回声结节,考虑纤维腺瘤可能	乳腺纤维瘤？
子宫回声异常,考虑肌腺症伴多发肌瘤可能	子宫肌瘤？
右侧乳腺低回声结节伴钙化(BI-RADS3类)	乳腺结节 BI-RADS 3类
双侧筛窦及左侧上颌窦少许炎症	鼻窦炎
所见肝脏多发囊肿可能	肝囊肿
胆总管多发结石伴胆总管上段扩张	胆总管扩张、胆总管结石
双侧乳腺多发无回声结节,BI-RADS2类	乳腺结节 BI-RADS 2类
左侧乳腺低回声结节(增生结节？)	乳腺增生
双膝关节骨质增生及关节间隙稍变窄	膝关节骨质增生
双眼屈光不正(右眼轻度近视+散光,左眼低度散光)	屈光不正
考虑垂体后叶小囊肿	垂体囊肿
右侧肾上腺三角区内高回声结节,肾上腺髓质脂肪瘤？	肾上腺结节
左肝稍高回声结节,考虑血管瘤	肝血管瘤
血清钙降低	血清钙降低
L4/5椎间盘突出(偏左),L5/S1椎间盘突出(中央型)	腰椎间盘突出
双肺尖少许肺气肿	肺气肿
右上肺少许陈旧病灶,伴右上胸膜增厚粘连	胸膜增厚、肺陈旧性病灶
主动脉壁钙化	主动脉钙化
左肝内叶近包膜处无回声区,考虑囊肿	肝囊肿
肝右叶多发囊肿	肝囊肿
其余甲状腺多发结节,考虑结节性甲状腺肿	结节性甲状腺肿
颈椎及椎间盘退行性改变	颈椎退行性改变
L5/S1椎间盘突出（左外侧型）	腰椎间盘突出
膀胱泥沙样结石	膀胱结石
双肺斜裂胸膜下少许慢性炎症	肺慢性炎症
内科既往史胃溃疡	胃溃疡
甲状腺右叶近峡部低回声结节伴部分钙化,MT？	甲状腺MT待排
左侧胸膜小点状钙化	胸膜钙化
右膝关节内外侧半月板后角Ⅰ-Ⅱ°退变	膝关节退行性改变
颈4-6椎体轻度骨质增生及颈6-7椎间隙变窄	骨质增生
左肺上叶舌段少许慢性炎症病灶	肺慢性炎症
肝右叶低回声结节,考虑肝血管瘤	肝血管瘤
右下肺磨玻璃样密度结节	肺磨玻璃结节
左下肺小结节	肺结节
双侧乳腺腺体稍厚	乳腺腺体增厚
右肝多发性囊肿	肝囊肿
胆囊皱壁上方充满型结石	胆囊结石
甲状腺左叶中部低回声结节,TI-RADS4A类	甲状腺结节 TI-RADS 4a类
右下肺纯磨玻璃结节	肺磨玻璃结节
双侧筛窦、上颌窦炎症	上颌窦炎
肝左内叶高回声区,考虑肝脂肪高浸润	脂肪肝
右侧附件区无回声区,考虑侧卵巢巧克力样囊肿	卵巢巧克力样囊肿
右肝高回声斑	肝高回声区
右肺下叶背段、左肺下叶后基底段粟粒样结节	肺结节
双侧乳腺多发囊性结节(BI-RADS2类	乳腺结节 BI-RADS 2类
阿奇霉素增高	阿奇霉素增高
外科既往史左肘关节骨折(外伤)	骨折
L4/5、L5/S1椎间盘轻度膨出	腰椎间盘膨出
颈4-7椎体轻度骨质增生及颈6-7椎间隙变窄	骨质增生
考虑慢性支气管炎、双下肺纤维机化灶	慢性支气管炎、肺纤维灶
右肝斑点状强回声,钙化灶？肝胆管结石？	胆管结石、肝钙化灶
双肺上叶及右肺中叶慢性炎症	肺慢性炎症
外阴色素减退	外阴色素减退
右肾中盏斑点状强回声,结石？	肾结石
双肺下叶胸膜下微小结节,必要时定期复查	肺结节
子宫腹壁脂肪厚、触诊不满意	子宫触诊不满意
颈椎退行性变,C5/6、C6/7椎间盘轻度突出	颈椎间盘突出、颈椎退行性改变
左侧颌下淋巴结可见	颌下淋巴结可见
甲状腺左叶多发无回声结节	甲状腺结节
扁桃体II度肿大,咽侧索较肥大	扁桃体肿大、扁桃体Ⅱ度肿大
气管旁淋巴结可见	气管旁淋巴结可见
频发室性早搏,偶呈四联律	室性早搏
右肺尖区小结节	肺结节
尿酮体增高	尿酮体增高
左侧胸膜肥厚粘连	胸膜粘连
绝经期子宫,子宫内膜增厚	子宫内膜增厚
放射科(数字化X线)胸椎退行性改变	胸椎退行性改变
双肺尖胸膜下慢性炎症病灶	肺慢性炎症
右肺中叶及左肺下叶慢性炎症	肺慢性炎症
右肺中叶结节	肺结节
右肺中叶内段少许慢性炎症	肺慢性炎症
双侧基底节、左侧半卵圆中心多发腔隙性脑梗塞	脑梗塞
颈椎正侧位片符合颈椎病	颈椎病
子宫低回声结节伴钙化,子宫肌瘤？	子宫肌瘤？
残余甲状腺右叶结节,考虑结节性甲状腺肿	结节性甲状腺肿
鼻左侧下鼻甲肥厚	鼻甲肥厚
右肾囊肿	肾囊肿
左侧乳腺多发低回声结节(BI-RADS3类),考虑纤维腺瘤	乳腺结节 BI-RADS 3类
右肺尖区及中叶内侧段、左肺上叶舌段散在慢性炎症	肺慢性炎症
甲状腺多发低回声结节,其中右叶大者结节伴钙化	甲状腺结节
左肾低至无回声区,积水？	肾积水？
附件左侧附件区触及一肿物约3.0cmX4.0cm大小,无压痛	附件区触及肿物
CD3降低	CD3降低
肝多发性囊肿	肝囊肿
左侧颈部皮下淋巴结可见	颈部淋巴结可见
双肺慢性炎症,与前片对比,双肺斑片条索影较前增多	肺炎
肝多发混合回声结节,性质待定	肝结节
分泌物分泌物脓性、量多	阴道分泌物异常
双侧筛窦、右侧蝶窦慢性炎症	鼻窦炎
甲状腺双侧叶多发无回声结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
胆囊底部显示不清	胆囊显示不清
甲状腺右侧叶弥漫性肿大伴多发结节	甲状腺结节
右侧附睾头多发囊肿	附睾囊肿
右肺中叶条索影为慢性炎症所致	肺慢性炎症
前列腺增大,实质回声稍增粗	前列腺增大
宫口可见一大小约1.0cm×0.6cm的息肉样组织	宫颈息肉
右肺上叶后段毛玻璃样密度结节	肺结节
双肺下叶少许纤维机化病灶	肺纤维灶
胆囊底、体部囊壁增厚伴结晶体,考虑胆囊局部腺肌增生症	胆囊肌腺症
双肺尖间隔旁气肿,较前大致相仿	肺气肿
腰椎退行性改变,L4/5椎间盘膨出,L5/S1椎间盘退变伴终板炎	腰椎间盘膨出、腰椎退行性变
左肺上叶下舌段慢性炎症	肺慢性炎症
宫颈息肉约0.3cm×0.2cm大小	宫颈息肉
双侧甲状腺低回声结节	甲状腺结节
甲状腺左叶无回声结节,考虑增生结节	甲状腺结节
右肺中叶外侧段良性微小结节	肺结节
右顶骨内板局限性隆起,考虑骨瘤	骨瘤
双侧乳腺无回声区(左乳多发)	乳腺无回声区
左膝关节内外侧半月板Ⅰ-Ⅱ°损伤改变	半月板损伤
甲状腺右叶低回声结节,考虑滤泡性肿瘤？	甲状腺滤泡性肿瘤？
右侧蝶窦炎症	鼻窦炎
胆总管上段轻度扩张	胆总管扩张
双附件左侧附件区可触及一肿物约5.0cm×4.0cm大小、囊性、边界清楚、活动度尚可、无压痛	附件囊肿
T波改变(V3-V6)	T波改变
内科既往史慢性萎缩性胃炎	慢性萎缩性胃炎
唾液酸酶弱阳性	唾液酸酶弱阳性
右侧额叶软化灶,局部脑萎缩	脑软化灶、脑萎缩
腰椎退行性变,L4-5椎间盘膨隆	腰椎退行性变
外科既往史腰椎间盘突出症	腰椎间盘突出症
左上肺类结节影,考虑慢性炎性病变	肺结节、肺慢性炎症
双侧乳腺增生伴右乳局部导管扩张	乳腺增生、乳腺导管扩张
左下肺、右中肺小结节	肺结节
肝右叶内近等回声结节,考虑肝局灶性增生结节	肝结节
右肺中叶斜裂旁小斑片影,较2015-11-27片病灶缩小,考虑慢性炎性改变	肺炎性改变
左肺上叶舌段及两肺下叶散在少许慢性炎症	肺慢性炎症
甲状腺左叶多发结节伴钙化	甲状腺结节
盆腔偏右侧无回声区,考虑卵巢囊肿	卵巢囊肿
左侧基底节区腔隙性脑梗塞灶	脑梗塞
右下肺少许慢性炎症	肺慢性炎症
双肺散在纤维小结节,左肺舌段小点状钙化灶	肺纤维结节、肺纤维灶
前列腺增大伴结石,实质回声不均匀	前列腺增大伴结石
左上肺点状影,考虑慢性炎症,复查	肺慢性炎症
子宫增大子宫如4+个月妊娠	子宫增大
双侧乳腺增生伴多发囊肿形成	乳腺增生乳腺囊肿
右上肺纯磨玻璃小结节	肺磨玻璃结节
甲状腺右叶近峡部低回声结节伴部分钙化,MT？	甲状腺MT待排
睾酮增高	睾酮增高
左肾低回声结节	肾结节
甲状腺实质回声增粗,血流稍增多	甲状腺回声增粗
左侧乳腺外上象限皮下低回声结节,性质待定	乳腺结节
双侧乳腺多发结节,BI-RADS3类	乳腺结节 BI-RADS 3类
左侧乳腺稍低回声结节,考虑脂肪小叶	乳腺结节
双肺纤维化、钙化灶	肺纤维化
C3-4椎间盘突出(偏右型),C4-5椎间盘突出(中央型)	颈椎间盘突出
肝内稍高回声结节,考虑肝血管瘤	肝血管瘤
双侧颈动脉硬化伴左侧颈总动脉斑块形成	动脉硬化
双侧乳腺多发无回声区	乳腺无回声区
肝右叶实性结节,倾向良性,血管瘤可能	肝血管瘤？
间发不完全性右束支阻滞	完全性右束支阻滞
甲状腺右叶低回声结节,考虑滤泡性肿瘤	甲状腺滤泡性肿瘤
颈椎退行性改变,C3/4、C4/5、C5/6椎间盘轻度凸出	颈椎退行性改变
右侧甲状腺异常信号结节	甲状腺结节
鼻变应性鼻炎、鼻中隔偏曲	变应性鼻炎、鼻中隔偏曲
鼻中隔向右偏曲	鼻中隔偏曲
所见右肾上盏结石	肾结石
右肝内低回声结节	肝结节
右乳内上象限囊实性结节,考虑导管内乳头状瘤	乳腺结节
甲状腺多发结节,ACRTI-RADS4类,考虑结节性甲状腺肿(右叶大者结节瘤化)	结节性甲状腺肿
双侧基底节区多发腔隙性缺血灶可能	脑缺血灶可能
甲状腺左叶多发低回声结节	甲状腺结节
腹腔气体多,胰腺显示欠清	胰腺显示欠清
频发多源房性早搏,偶成对出现伴心室内差异性传导	房性早搏
肝脏多发血管瘤	肝血管瘤
左肺尖慢性炎症	肺慢性炎症
颅内动脉粥样硬化改变,双侧大脑前动脉A2段轻度狭窄	动脉粥样硬化
左肺上叶舌段、双肺下叶炎症性病变	肺炎性改变
考虑左下肺感染	肺部感染
肢导联低电压	肢导联低电压
双侧乳腺多发低回声结节,考虑BI-RADS3类	乳腺结节 BI-RADS 3类
左侧上颌窦、双侧筛窦炎症	筛窦炎
鼻慢性鼻窦炎,右侧中鼻道见脓涕,轻度息肉样变	慢性鼻窦炎、鼻息肉
双上肺浸润型结核较前片有增多	浸润型肺结核
甲状腺多发结节,其中右侧叶结节伴粗钙化,考虑结节性甲状腺肿	结节性甲状腺肿
颏下区淋巴结可见	颏下淋巴结可见
左肾无回声区,考虑肾盂囊肿	肾盂囊肿
右肝内高回声结节,考虑增生结节	肝增生性结节
镜检诊断1.直肠息肉	直肠息肉
L4-5椎间盘突出(中央型)	腰椎间盘突出
双肺散在支扩改变伴周围慢性炎症	肺慢性炎症
甲状腺右叶低回声结节,TI-RADS2类	甲状腺结节 TI-RADS 2类
左肺上叶下舌段及左肺下叶支气管扩张	支气管扩张
左肾稍增大(考虑代偿性)	肾囊肿
甲状腺实质回声增粗,血流信号稍增多	甲状腺回声增粗
肝胆管多发结石	胆管结石
甲状腺多发性无回声和低回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
双侧乳腺低回声结节,考虑BI-RADS3级	乳腺结节
左上肺少许陈旧病灶,与前片相仿	肺陈旧性病灶
右肝多发低回声区,考虑局灶性肝脂肪浸润缺失	脂肪肝
